日期,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h,IPRC
2016/1/1,293,重度污染,243,324,122,6.1,149,12,2.088377628
2016/1/2,430,严重污染,395,517,138,7.5,180,18,3.316942225
2016/1/3,332,严重污染,282,405,72,6.3,130,10,2.516424578
2016/1/4,204,重度污染,154,237,73,3.5,72,34,1.505692699
2016/1/5,169,中度污染,128,186,99,3.2,66,39,1.210233451
2016/1/6,236,重度污染,186,256,118,4.4,90,30,1.736391883
2016/1/7,149,轻度污染,114,166,74,2.9,68,36,0.995390259
2016/1/8,232,重度污染,182,248,102,4,87,31,1.69673985
2016/1/9,294,重度污染,244,322,121,4.4,116,26,2.063772029
2016/1/10,193,中度污染,145,204,88,3,88,20,1.327041796
2016/1/11,104,轻度污染,78,122,60,1.8,56,43,0.734974038
2016/1/12,210,重度污染,160,224,85,3.5,78,34,1.542928807
2016/1/13,259,重度污染,209,285,103,4.7,101,26,1.858105958
2016/1/14,228,重度污染,178,247,102,3.8,102,34,1.683768861
2016/1/15,260,重度污染,210,282,107,4.5,117,33,1.878862365
2016/1/16,203,重度污染,153,215,64,3,86,10,1.460798806
2016/1/17,115,轻度污染,87,127,41,2.1,62,46,0.786592581
2016/1/18,113,轻度污染,85,130,48,2,62,55,0.788721606
2016/1/19,162,中度污染,123,185,86,2.8,84,33,1.178991196
2016/1/20,280,重度污染,230,299,116,5.3,112,10,1.972433199
2016/1/21,163,中度污染,124,168,78,3.5,82,16,1.178313794
2016/1/22,61,良,41,71,25,1,35,69,0.410346675
2016/1/23,60,良,34,70,26,0.8,25,75,0.386875299
2016/1/24,55,良,31,60,40,1,38,72,0.3944181
2016/1/25,190,中度污染,143,192,103,4,91,44,1.366665247
2016/1/26,137,轻度污染,104,146,89,3,86,44,0.969322784
2016/1/27,254,重度污染,204,270,144,5.6,118,25,1.872746402
2016/1/28,166,中度污染,126,175,110,3.3,112,22,1.233117302
2016/1/29,82,良,60,88,61,1.8,64,40,0.569538252
2016/1/30,79,良,58,77,57,1.4,53,43,0.531689211
2016/1/31,152,中度污染,116,143,69,2.7,67,65,1.092159047
2016/2/1,203,重度污染,153,187,98,3.6,86,65,1.52835632
2016/2/2,202,重度污染,152,196,119,4,98,56,1.562857545
2016/2/3,233,重度污染,183,228,114,4.5,105,52,1.727854161
2016/2/4,160,中度污染,122,159,97,3.2,84,55,1.18945188
2016/2/5,172,中度污染,130,168,86,3.6,76,68,1.250054632
2016/2/6,130,轻度污染,99,137,81,2.6,65,77,0.916428809
2016/2/7,178,中度污染,134,180,96,3.5,69,77,1.281280564
2016/2/8,170,中度污染,129,181,121,2.2,54,83,1.203821747
2016/2/9,162,中度污染,123,161,100,3.5,65,92,1.206782836
2016/2/10,138,轻度污染,105,137,87,3,68,66,0.960280997
2016/2/11,129,轻度污染,98,136,73,3.1,65,33,0.89619751
2016/2/12,196,中度污染,147,194,48,3.4,60,22,1.282609011
2016/2/13,51,良,29,51,28,0.9,25,69,0.345329986
2016/2/14,44,优,12,28,15,0.8,13,88,0.236047107
2016/2/15,41,优,16,36,26,0.9,23,82,0.254151679
2016/2/16,54,良,31,58,51,1.4,42,85,0.420276983
2016/2/17,88,良,65,97,72,2.3,64,71,0.628981717
2016/2/18,67,良,42,79,67,1.6,53,89,0.507888747
2016/2/19,72,良,52,88,54,1.7,47,87,0.526958642
2016/2/20,45,优,26,45,42,1.1,33,87,0.310184898
2016/2/21,122,轻度污染,92,144,81,2.3,73,55,0.876251011
2016/2/22,229,重度污染,179,251,94,3.7,96,42,1.683300749
2016/2/23,40,优,22,38,36,1,30,80,0.273977759
2016/2/24,68,良,49,78,50,1.4,51,72,0.495909441
2016/2/25,77,良,53,88,79,1.5,61,72,0.559347997
2016/2/26,98,良,73,116,83,2,74,80,0.690800617
2016/2/27,72,良,36,59,45,1.4,57,73,0.486815041
2016/2/28,56,良,36,61,39,1.3,42,88,0.421800685
2016/2/29,60,良,30,53,52,1.2,48,79,0.434445065
2016/3/1,135,轻度污染,103,151,98,2.6,99,69,0.980887827
2016/3/2,104,轻度污染,78,130,84,1.9,78,87,0.810723113
2016/3/3,193,中度污染,145,224,98,2.8,91,102,1.396189613
2016/3/4,200,中度污染,150,213,52,2.5,73,52,1.328642478
2016/3/5,125,轻度污染,50,199,37,1,47,88,0.771863714
2016/3/6,142,轻度污染,86,234,68,2.4,90,34,0.977401271
2016/3/7,89,良,44,128,41,1.4,59,87,0.58500347
2016/3/8,52,良,20,54,25,0.6,32,70,0.336976331
2016/3/9,64,良,40,77,36,1,44,66,0.440065973
2016/3/10,54,良,20,58,29,0.7,32,86,0.358330739
2016/3/11,79,良,55,108,61,1.5,61,88,0.57701766
2016/3/12,132,轻度污染,100,174,104,2.4,88,56,0.963618064
2016/3/13,82,良,58,114,52,1.4,60,96,0.588052711
2016/3/14,93,良,62,135,83,1.6,66,89,0.657671206
2016/3/15,110,轻度污染,83,156,68,1.4,60,113,0.821537231
2016/3/16,220,重度污染,170,257,84,1.9,82,150,1.667799212
2016/3/17,228,重度污染,178,288,96,2.3,107,138,1.753946635
2016/3/18,231,重度污染,181,322,60,2.5,124,180,1.839906479
2016/3/19,86,良,49,122,32,0.8,52,84,0.547144588
2016/3/20,84,良,50,118,49,1.2,67,114,0.601020746
2016/3/21,122,轻度污染,92,187,71,1.5,74,132,0.928345904
2016/3/22,121,轻度污染,84,191,46,1.1,69,93,0.849208693
2016/3/23,76,良,44,102,21,0.7,42,87,0.479775784
2016/3/24,66,良,33,81,18,0.6,42,84,0.419717582
2016/3/25,75,良,43,99,23,0.7,51,88,0.486015508
2016/3/26,65,良,34,80,17,0.6,41,97,0.422224569
2016/3/27,87,良,47,124,26,0.8,46,98,0.542744853
2016/3/28,124,轻度污染,73,198,50,1,60,100,0.839952288
2016/3/29,78,良,29,105,24,0.5,30,104,0.461540396
2016/3/30,107,轻度污染,70,164,42,1.1,64,114,0.778477754
2016/3/31,182,中度污染,106,313,57,1,62,144,1.274878945
2016/4/1,138,轻度污染,54,226,28,0.6,48,134,0.850528822
2016/4/2,60,良,16,56,11,0.5,27,111,0.356916087
2016/4/3,61,良,23,62,12,0.5,25,113,0.373063998
2016/4/4,103,轻度污染,77,141,43,0.9,58,114,0.7502587
2016/4/5,114,轻度污染,86,178,38,1,62,151,0.853723027
2016/4/6,199,中度污染,149,240,29,1.4,70,102,1.304734464
2016/4/7,137,轻度污染,102,224,16,1,68,112,0.918006148
2016/4/8,84,良,28,118,21,0.5,32,110,0.488853075
2016/4/9,139,轻度污染,67,227,29,1,55,118,0.87844477
2016/4/10,107,轻度污染,41,163,26,0.8,31,108,0.659664423
2016/4/11,84,良,36,118,18,0.6,40,106,0.504885868
2016/4/12,129,轻度污染,98,170,31,1.2,66,108,0.874069462
2016/4/13,182,中度污染,137,269,25,1.2,77,117,1.266474514
2016/4/14,107,轻度污染,50,164,20,0.7,45,120,0.694612516
2016/4/15,106,轻度污染,67,161,42,0.9,59,122,0.764045092
2016/4/16,70,良,27,90,8,0.4,22,96,0.397081071
2016/4/17,52,良,13,50,6,0.3,16,102,0.297935978
2016/4/18,55,良,17,53,10,0.4,20,105,0.325953776
2016/4/19,78,良,57,98,25,0.8,59,78,0.519434673
2016/4/20,124,轻度污染,94,174,27,1.2,62,144,0.879047267
2016/4/21,113,轻度污染,64,175,26,0.7,44,118,0.740788721
2016/4/22,109,轻度污染,47,168,28,0.6,44,127,0.709491677
2016/4/23,98,良,48,145,36,0.6,46,86,0.585169386
2016/4/24,127,轻度污染,79,204,45,0.9,48,150,0.881971126
2016/4/25,104,轻度污染,68,143,30,0.8,29,164,0.731240457
2016/4/26,126,轻度污染,92,202,41,1,42,150,0.886115889
2016/4/27,120,轻度污染,91,172,26,1.1,48,139,0.834195301
2016/4/28,109,轻度污染,76,130,18,0.9,34,169,0.750937742
2016/4/29,163,中度污染,124,226,52,1.6,48,171,1.216325167
2016/4/30,166,中度污染,126,238,43,1.3,63,193,1.267013065
2016/5/1,178,中度污染,134,254,34,1.2,44,166,1.250024996
2016/5/2,80,良,47,109,16,0.5,21,119,0.484797702
2016/5/3,74,良,31,97,10,0.4,34,116,0.447029801
2016/5/4,103,轻度污染,63,143,44,0.9,53,163,0.771945875
2016/5/5,96,良,68,142,38,1.4,56,123,0.657739941
2016/5/6,123,轻度污染,52,196,15,0.4,28,100,0.706888427
2016/5/7,75,良,43,99,17,0.5,40,130,0.492500323
2016/5/8,88,良,58,126,44,0.8,39,136,0.596618028
2016/5/9,98,良,73,138,36,0.9,40,118,0.631047802
2016/5/10,125,轻度污染,95,175,21,0.9,44,174,0.87338557
2016/5/11,200,中度污染,150,230,33,1.3,34,152,1.301528983
2016/5/12,79,良,58,107,14,0.6,32,128,0.513991602
2016/5/13,80,良,48,110,40,0.6,42,118,0.535064314
2016/5/14,79,良,58,74,9,0.9,35,89,0.477856224
2016/5/15,59,良,39,68,12,0.8,35,95,0.396587062
2016/5/16,72,良,37,86,31,0.6,45,126,0.488118425
2016/5/17,114,轻度污染,61,128,50,0.8,42,175,0.794259432
2016/5/18,106,轻度污染,64,119,26,0.7,32,166,0.717046686
2016/5/19,144,轻度污染,85,141,32,1.1,41,208,0.945371964
2016/5/20,146,轻度污染,110,188,45,1.3,71,210,1.075184976
2016/5/21,135,轻度污染,91,150,36,1,48,198,0.932241727
2016/5/22,114,轻度污染,54,97,25,0.8,41,175,0.738349273
2016/5/23,118,轻度污染,89,140,32,0.8,48,138,0.804276613
2016/5/24,83,良,24,55,14,0.4,30,139,0.462128575
2016/5/25,60,良,25,57,16,0.4,29,112,0.375881419
2016/5/26,78,良,42,104,24,0.6,47,133,0.521099593
2016/5/27,98,良,67,146,48,1,62,114,0.664294983
2016/5/28,100,良,58,105,45,1.4,43,160,0.660921972
2016/5/29,95,良,60,121,30,0.8,39,154,0.618727906
2016/5/30,133,轻度污染,88,158,38,1.2,41,196,0.923197297
2016/5/31,106,轻度污染,52,162,36,1,35,130,0.714503836
2016/6/1,100,良,34,85,42,0.8,45,159,0.607679903
2016/6/2,120,轻度污染,41,97,27,0.8,55,181,0.765274024
2016/6/3,115,轻度污染,87,163,65,1.5,63,162,0.897220894
2016/6/4,115,轻度污染,74,129,40,1.1,37,176,0.807313655
2016/6/5,117,轻度污染,83,140,43,1.1,46,178,0.849238171
2016/6/6,122,轻度污染,84,131,32,1,40,184,0.844002592
2016/6/7,89,良,66,92,16,1.3,30,132,0.565142496
2016/6/8,143,轻度污染,109,157,26,1.4,42,200,0.97919073
2016/6/9,129,轻度污染,63,123,41,1,38,191,0.844858468
2016/6/10,145,轻度污染,44,79,19,0.8,23,209,0.810049543
2016/6/11,80,良,12,37,17,0.4,30,136,0.423989003
2016/6/12,140,轻度污染,31,77,26,0.7,47,204,0.809041789
2016/6/13,96,良,49,86,24,0.8,35,155,0.583060999
2016/6/14,71,良,41,58,10,0.8,20,125,0.432398733
2016/6/15,85,良,23,46,14,0.6,26,142,0.463566752
2016/6/16,82,良,22,62,20,0.5,46,138,0.485506711
2016/6/17,144,轻度污染,41,99,36,0.8,48,208,0.866501383
2016/6/18,119,轻度污染,36,65,25,0.8,34,180,0.705466034
2016/6/19,151,中度污染,47,87,26,0.8,31,216,0.931378319
2016/6/20,136,轻度污染,58,87,19,0.8,27,199,0.802121679
2016/6/21,142,轻度污染,48,88,9,0.7,35,206,0.811674585
2016/6/22,102,轻度污染,48,90,13,0.7,30,162,0.645961457
2016/6/23,60,良,29,66,13,0.4,37,111,0.389897726
2016/6/24,51,良,18,51,10,0.3,28,94,0.315017628
2016/6/25,70,良,18,52,11,0.2,28,124,0.392931986
2016/6/26,101,轻度污染,44,104,30,0.7,51,161,0.692216266
2016/6/27,110,轻度污染,83,140,21,0.8,34,143,0.745649267
2016/6/28,92,良,68,107,11,0.8,36,93,0.545520149
2016/6/29,179,中度污染,135,186,11,0.9,45,89,1.094985807
2016/6/30,124,轻度污染,94,131,16,0.9,42,148,0.810789697
2016/7/1,54,良,27,47,9,0.4,34,104,0.346662733
2016/7/2,110,轻度污染,46,78,14,0.7,41,171,0.68613197
2016/7/3,88,良,60,88,22,0.8,31,145,0.5581293
2016/7/4,109,轻度污染,66,106,20,0.8,44,169,0.736648216
2016/7/5,112,轻度污染,74,112,31,0.8,32,173,0.760451078
2016/7/6,117,轻度污染,49,85,28,0.7,39,178,0.734296347
2016/7/7,139,轻度污染,106,165,33,1,51,194,0.970655839
2016/7/8,115,轻度污染,87,129,23,0.9,37,137,0.76404814
2016/7/9,102,轻度污染,76,119,11,0.8,33,136,0.68056852
2016/7/10,87,良,64,95,22,0.8,32,134,0.55537091
2016/7/11,95,良,71,111,31,0.7,34,142,0.610403205
2016/7/12,67,良,48,74,19,0.5,32,85,0.424271807
2016/7/13,95,良,33,60,19,0.6,31,154,0.534846662
2016/7/14,73,良,53,94,43,1.1,44,115,0.526078835
2016/7/15,51,良,30,52,12,0.5,32,97,0.344547321
2016/7/16,93,良,68,107,19,1,52,151,0.621967528
2016/7/17,111,轻度污染,81,124,16,1,42,172,0.775906668
2016/7/18,176,中度污染,133,191,20,1.3,51,162,1.194094051
2016/7/19,165,中度污染,125,162,8,1.4,41,58,1.004015932
2016/7/20,36,优,25,27,6,0.8,20,66,0.21617457
2016/7/21,52,良,36,54,8,0.8,32,72,0.347838057
2016/7/22,99,良,74,102,10,1.2,43,129,0.613826846
2016/7/23,163,中度污染,124,177,24,1.5,46,152,1.122391032
2016/7/24,114,轻度污染,86,128,15,0.9,32,72,0.692831963
2016/7/25,55,良,37,59,10,0.6,24,100,0.360527878
2016/7/26,110,轻度污染,38,63,15,0.8,28,170,0.650229669
2016/7/27,124,轻度污染,85,134,36,1.1,33,186,0.852491878
2016/7/28,138,轻度污染,105,145,37,1.1,34,162,0.906439229
2016/7/29,146,轻度污染,105,152,27,1,42,210,0.979735462
2016/7/30,153,中度污染,117,171,18,1,35,138,1.018295299
2016/7/31,95,良,71,100,13,1,28,152,0.596220449
2016/8/1,124,轻度污染,94,132,18,1.4,32,162,0.826315513
2016/8/2,114,轻度污染,53,73,18,1.1,31,175,0.710394193
2016/8/3,107,轻度污染,52,74,25,1.1,33,167,0.690769682
2016/8/4,84,良,62,84,25,1,31,138,0.548847604
2016/8/5,79,良,58,80,39,0.8,32,126,0.52755785
2016/8/6,94,良,70,91,25,0.7,32,133,0.581869087
2016/8/7,50,优,31,42,15,0.4,25,100,0.292622511
2016/8/8,62,良,29,43,15,0.6,33,114,0.386843118
2016/8/9,59,良,38,54,17,0.7,35,110,0.400458479
2016/8/10,79,良,58,76,24,0.8,30,134,0.515841535
2016/8/11,77,良,56,76,32,0.9,28,127,0.50884485
2016/8/12,69,良,50,70,19,0.8,27,108,0.445574694
2016/8/13,45,优,20,32,12,0.6,36,83,0.263908384
2016/8/14,50,优,20,36,18,0.5,40,57,0.278584584
2016/8/15,37,优,17,26,6,0.4,29,74,0.214399565
2016/8/16,45,优,24,40,14,0.6,36,88,0.277368156
2016/8/17,59,良,38,67,16,0.9,40,62,0.3908422
2016/8/18,74,良,54,74,8,1,30,64,0.442137029
2016/8/19,65,良,24,33,13,1.1,24,118,0.382794593
2016/8/20,70,良,27,46,14,0.8,31,123,0.418523542
2016/8/21,108,轻度污染,44,73,29,1.1,39,168,0.695777392
2016/8/22,58,良,38,65,22,0.8,39,106,0.411151385
2016/8/23,58,良,40,65,30,0.7,39,106,0.418736031
2016/8/24,67,良,48,77,15,1,44,103,0.456645646
2016/8/25,45,优,26,45,12,0.5,32,59,0.265527208
2016/8/26,45,优,10,23,12,0.2,36,74,0.235925043
2016/8/27,58,良,13,31,14,0.4,46,72,0.327957232
2016/8/28,47,优,10,26,21,0.3,37,84,0.256271766
2016/8/29,72,良,19,42,21,0.5,44,126,0.42791629
2016/8/30,54,良,28,58,28,0.8,41,102,0.388740112
2016/8/31,50,优,18,41,16,0.5,40,61,0.280157209
2016/9/1,43,优,10,31,24,0.4,34,46,0.235511743
2016/9/2,59,良,24,52,37,0.8,47,68,0.394203545
2016/9/3,44,优,18,38,18,0.6,32,88,0.265765031
2016/9/4,45,优,26,44,20,0.7,31,90,0.284930553
2016/9/5,58,良,39,65,23,1,42,96,0.414851252
2016/9/6,55,良,35,60,20,0.8,42,66,0.378297308
2016/9/7,69,良,20,44,17,0.6,26,122,0.396287567
2016/9/8,75,良,32,68,32,0.6,45,129,0.485057379
2016/9/9,95,良,53,112,35,0.7,56,153,0.626480889
2016/9/10,67,良,34,78,13,0.6,37,120,0.435247646
2016/9/11,67,良,38,62,12,0.6,34,120,0.428165078
2016/9/12,98,良,61,103,14,1,37,157,0.609773462
2016/9/13,128,轻度污染,97,154,30,1.2,53,166,0.895628808
2016/9/14,133,轻度污染,101,169,32,1,46,188,0.93372812
2016/9/15,198,中度污染,148,225,37,1.4,43,198,1.363796509
2016/9/16,189,中度污染,142,223,34,1.2,47,170,1.288213348
2016/9/17,87,良,64,113,16,1,30,94,0.531445115
2016/9/18,61,良,42,71,8,0.8,32,61,0.383892665
2016/9/19,55,良,28,60,10,0.5,38,91,0.359982883
2016/9/20,68,良,43,85,19,0.7,48,118,0.470750323
2016/9/21,97,良,72,127,37,0.9,44,153,0.654250052
2016/9/22,156,中度污染,119,186,23,1.1,58,165,1.117240768
2016/9/23,198,中度污染,148,233,19,1.3,53,157,1.311037926
2016/9/24,225,重度污染,175,287,34,1.6,61,161,1.629522285
2016/9/25,207,重度污染,157,253,37,1.3,50,172,1.511640805
2016/9/26,98,良,73,107,11,1.1,37,82,0.572774789
2016/9/27,70,良,51,87,5,0.7,39,72,0.437541736
2016/9/28,54,良,28,57,13,0.5,43,70,0.354017996
2016/9/29,123,轻度污染,93,152,32,0.8,68,124,0.846191191
2016/9/30,158,中度污染,120,204,36,1,99,154,1.184887882
2016/10/1,271,重度污染,221,325,83,1.9,119,92,1.905943563
2016/10/2,240,重度污染,190,290,28,1.6,88,143,1.708270397
2016/10/3,265,重度污染,215,311,19,1.6,81,149,1.825164291
2016/10/4,109,轻度污染,82,124,13,0.9,44,48,0.671172695
2016/10/5,89,良,66,114,17,1.2,59,66,0.56686919
2016/10/6,104,轻度污染,78,128,18,1,55,72,0.689677165
2016/10/7,94,良,70,93,16,1,43,33,0.537655693
2016/10/8,54,良,29,57,15,0.5,41,72,0.35562498
2016/10/9,82,良,54,103,32,0.9,65,32,0.524584803
2016/10/10,119,轻度污染,90,160,41,1.3,76,40,0.814380258
2016/10/11,138,轻度污染,105,169,35,1.2,72,80,0.904093472
2016/10/12,117,轻度污染,88,137,23,1.1,61,79,0.768021253
2016/10/13,248,重度污染,198,285,32,1.6,89,84,1.682592427
2016/10/14,93,良,69,108,39,1,52,85,0.595698531
2016/10/15,144,轻度污染,110,163,38,1,73,21,0.892779131
2016/10/16,145,轻度污染,111,143,17,0.9,49,52,0.84419799
2016/10/17,133,轻度污染,101,164,24,1,57,70,0.836721075
2016/10/18,225,重度污染,175,258,30,1.8,78,43,1.523330694
2016/10/19,296,重度污染,246,364,22,1.8,69,33,1.9032825
2016/10/20,110,轻度污染,83,131,9,1,58,34,0.68987786
2016/10/21,65,良,44,55,7,1.1,52,33,0.407927178
2016/10/22,59,良,30,50,7,0.8,47,19,0.350782966
2016/10/23,67,良,46,74,12,0.9,53,34,0.425381788
2016/10/24,113,轻度污染,85,125,18,1.1,66,17,0.712417386
2016/10/25,123,轻度污染,93,144,23,2,70,13,0.797633923
2016/10/26,100,良,75,121,15,1.7,57,20,0.600244087
2016/10/27,69,良,37,73,11,1,55,9,0.413447438
2016/10/28,50,优,21,44,7,0.5,40,47,0.273681738
2016/10/29,68,良,39,85,26,0.6,47,50,0.43208673
2016/10/30,97,良,72,131,25,1.1,60,23,0.591598993
2016/10/31,75,良,55,89,13,0.5,43,67,0.46327131
2016/11/1,102,轻度污染,76,118,24,0.8,60,53,0.672313879
2016/11/2,153,中度污染,117,197,57,1.6,79,27,1.083712909
2016/11/3,248,重度污染,198,296,37,2.7,90,19,1.69147063
2016/11/4,320,严重污染,270,397,29,3.1,124,15,2.331243527
2016/11/5,170,中度污染,129,196,11,2.7,91,26,1.144816583
2016/11/6,134,轻度污染,102,149,24,0.8,60,56,0.823864159
2016/11/7,176,中度污染,133,181,24,1.2,74,48,1.125869635
2016/11/8,98,良,73,116,23,1,55,47,0.590164247
2016/11/9,198,中度污染,148,218,48,1.7,81,16,1.279824402
2016/11/10,156,中度污染,119,204,24,1.2,59,32,1.019950945
2016/11/11,188,中度污染,141,235,30,2,84,23,1.240760877
2016/11/12,134,轻度污染,102,184,34,1.9,80,47,0.907798637
2016/11/13,243,重度污染,193,285,34,2.2,91,39,1.654228689
2016/11/14,237,重度污染,187,300,34,2.9,98,29,1.661430032
2016/11/15,135,轻度污染,103,174,44,1.7,82,26,0.901809118
2016/11/16,190,中度污染,143,231,37,2.6,98,9,1.277324785
2016/11/17,178,中度污染,134,246,28,2.4,76,5,1.194391099
2016/11/18,240,重度污染,190,353,30,2.6,80,5,1.670212012
2016/11/19,272,重度污染,222,323,42,3.1,102,20,1.850772963
2016/11/20,89,良,66,98,30,1.1,44,31,0.535790243
2016/11/21,43,优,30,43,11,0.5,28,38,0.249952801
2016/11/22,55,良,37,60,16,0.5,31,45,0.3477733
2016/11/23,195,中度污染,146,193,55,2,65,18,1.243286525
2016/11/24,228,重度污染,178,239,59,2.4,83,20,1.570294197
2016/11/25,332,严重污染,282,358,62,3.3,96,10,2.319841832
2016/11/26,306,严重污染,256,370,48,3.2,89,35,2.224799329
2016/11/27,209,重度污染,159,244,50,2.5,89,36,1.501965303
2016/11/28,128,轻度污染,97,142,55,2,75,34,0.868335954
2016/11/29,176,中度污染,133,184,69,3,104,8,1.231210052
2016/11/30,150,轻度污染,115,167,50,2.2,84,33,0.985515961
2016/12/1,104,轻度污染,78,111,50,1.6,76,48,0.748292574
2016/12/2,217,重度污染,167,218,70,3.3,114,13,1.564437518
2016/12/3,345,严重污染,295,359,85,5.5,139,12,2.481388889
2016/12/4,377,严重污染,327,393,57,5.7,176,10,2.718960168
2016/12/5,133,轻度污染,101,136,44,2.6,74,35,0.89200685
2016/12/6,203,重度污染,153,203,58,3.2,91,18,1.464729196
2016/12/7,193,中度污染,145,202,109,3.2,108,23,1.361076141
2016/12/8,212,重度污染,162,211,83,3.7,104,20,1.55928671
2016/12/9,64,良,31,50,26,1,51,40,0.403653744
2016/12/10,166,中度污染,126,168,74,3.4,92,18,1.192609011
2016/12/11,213,重度污染,163,208,81,3.6,98,24,1.55442593
2016/12/12,251,重度污染,201,252,87,3.8,124,8,1.77644407
2016/12/13,114,轻度污染,86,118,42,1.9,73,35,0.781691448
2016/12/14,78,良,57,78,35,1.4,57,43,0.51499475
2016/12/15,165,中度污染,125,163,62,2.4,85,27,1.145749031
2016/12/16,250,重度污染,200,251,89,3.2,99,18,1.739873235
2016/12/17,315,严重污染,265,326,66,4.4,129,11,2.265591886
2016/12/18,339,严重污染,289,360,50,4.2,137,16,2.417255421
2016/12/19,438,严重污染,406,493,37,7.5,142,12,3.178567166
2016/12/20,348,严重污染,298,423,22,8,116,14,2.573500768
2016/12/21,438,严重污染,407,520,43,8.6,133,14,3.241065517
2016/12/22,334,严重污染,284,400,32,6.1,110,33,2.466778896
2016/12/23,73,良,51,71,29,1,58,45,0.477055594
2016/12/24,139,轻度污染,106,140,60,2.5,80,22,0.929874161
2016/12/25,225,重度污染,175,221,85,4.1,114,8,1.636758925
2016/12/26,144,轻度污染,110,134,44,2.3,80,30,0.93377538
2016/12/27,147,轻度污染,112,131,33,1.8,60,30,0.889444856
2016/12/28,204,重度污染,154,181,33,1.9,65,29,1.346601674
2016/12/29,328,严重污染,278,325,71,4.5,96,13,2.305146619
2016/12/30,279,重度污染,229,273,60,3.7,92,11,1.872743952
2016/12/31,377,严重污染,327,425,58,6.7,117,9,2.753163884
